,Tavg,RH_avg,RR,ss,ddd_x,ff_avg
2016-01-01,28.6,81.0,9.239963532582845,5.8,280.0,2.0
2016-01-02,27.0,88.0,1.6,8.7,290.0,2.0
2016-01-03,28.1,80.0,33.8,5.4,280.0,2.0
2016-01-04,29.2,81.0,23.8,6.6,200.0,1.0
2016-01-05,26.7,91.0,13.8,3.2,180.0,1.0
2016-01-06,28.9,80.0,3.8,3.6,190.0,2.0
2016-01-07,30.0,78.0,5.083333333333333,7.6,60.0,2.0
2016-01-08,29.9,79.0,6.366666666666667,7.9,50.0,2.0
2016-01-09,29.7,79.0,7.65,10.2,110.0,2.0
2016-01-10,29.2,80.0,8.933333333333334,8.2,80.0,2.0
2016-01-11,28.2,83.0,10.216666666666669,4.9,280.0,1.0
2016-01-12,26.0,93.0,11.5,5.7,50.0,1.0
2016-01-13,26.3,92.0,36.3,0.9,270.0,1.0
2016-01-14,28.5,84.0,4.4,3.7,40.0,2.0
2016-01-15,29.0,84.0,2.5,4.8,70.0,1.0
2016-01-16,28.6,82.0,0.6,3.9,60.0,1.0
2016-01-17,28.1,86.0,2.55,3.1,160.0,2.0
2016-01-18,28.5,81.0,4.5,6.8,280.0,2.0
2016-01-19,27.4,89.0,3.4,3.1,250.0,2.0
2016-01-20,27.8,87.0,0.9,4.6,260.0,2.0
2016-01-21,27.7,86.0,0.3,1.6,260.0,1.0
2016-01-22,28.7,84.0,0.1,0.8,300.0,2.0
2016-01-23,26.2,88.0,13.9,0.7,130.0,2.0
2016-01-24,27.2,91.0,7.5,0.2,180.0,1.0
2016-01-25,25.5,96.0,56.0,1.0,120.0,1.0
2016-01-26,28.1,85.0,2.0,0.0,290.0,1.0
2016-01-27,29.2,83.0,2.0,4.0,240.0,2.0
2016-01-28,29.0,83.0,2.0,7.4,130.0,2.0
2016-01-29,29.1,80.0,2.0,3.1,170.0,2.0
2016-01-30,28.0,86.0,2.0,8.4,290.0,2.0
2016-01-31,27.9,82.0,0.4,1.7,260.0,2.0
2016-02-01,27.2,89.0,13.45,4.1,280.0,2.0
2016-02-02,27.5,89.0,26.5,2.3,280.0,3.0
2016-02-03,27.8,82.0,4.0,2.0,250.0,2.0
2016-02-04,26.9,90.0,5.85,2.1,210.0,1.0
2016-02-05,28.4,84.0,7.7,0.6,260.0,2.0
2016-02-06,28.7,85.0,4.1,1.5,240.0,2.0
2016-02-07,27.9,86.0,0.5,7.8,250.0,2.0
2016-02-08,26.7,92.0,27.5,4.2,280.0,2.0
2016-02-09,27.1,88.0,23.7,3.8,260.0,2.0
2016-02-10,26.4,90.0,10.0,4.6,280.0,2.0
2016-02-11,27.3,89.0,9.85,0.2,270.0,2.0
2016-02-12,27.0,88.0,9.7,0.7,250.0,1.0
2016-02-13,28.2,84.0,23.0,1.6,290.0,1.0
2016-02-14,27.2,89.0,0.5,1.6,270.0,1.0
2016-02-15,28.1,85.0,10.0,5.5,260.0,2.0
2016-02-16,27.5,86.0,9.25,7.1,200.0,2.0
2016-02-17,26.6,89.0,8.5,1.0,270.0,1.0
2016-02-18,27.4,86.0,2.0,0.5,280.0,2.0
2016-02-19,28.3,82.0,0.4,8.0,100.0,2.0
2016-02-20,28.0,85.0,0.6,4.1,270.0,2.0
2016-02-21,28.2,85.0,0.8,3.6,250.0,3.0
2016-02-22,28.4,85.0,1.0,3.1,280.0,2.0
2016-02-23,28.3,83.0,8.333333333333332,2.1,270.0,2.0
2016-02-24,26.9,92.0,15.666666666666666,1.4500000000000002,250.0,1.0
2016-02-25,27.0,88.5,23.0,0.8,190.0,0.0
2016-02-26,27.1,85.0,34.0,2.3,270.0,1.0
2016-02-27,28.4,78.0,0.8,2.5,180.0,2.0
2016-02-28,27.3,84.5,67.0,7.5,200.0,1.0
2016-02-29,26.2,91.0,8.0,0.0,280.0,2.0
2016-03-01,26.9,88.0,44.2,2.5,290.0,3.0
