,date,Tavg,RH_avg,ss,ddd_x,ff_avg,RR,ddd_car,region_name,flood
0,2016-01-01,28.6,81.0,5.8,280.0,2.0,9.239963532582845,S ,Jakarta Selatan,0
1,2016-01-02,27.0,88.0,8.7,290.0,2.0,1.6,W ,Jakarta Selatan,1
2,2016-01-03,28.1,80.0,5.4,280.0,2.0,33.8,SW,Jakarta Selatan,1
3,2016-01-04,29.2,81.0,6.6,200.0,1.0,23.8,S ,Jakarta Selatan,0
4,2016-01-05,26.7,91.0,3.2,180.0,1.0,13.8,S ,Jakarta Selatan,0
5,2016-01-06,28.9,80.0,3.6,190.0,2.0,3.8,E ,Jakarta Selatan,0
6,2016-01-07,30.0,78.0,7.6,60.0,2.0,5.083333333333333,E ,Jakarta Selatan,0
7,2016-01-08,29.9,79.0,7.9,50.0,2.0,6.366666666666667,SE,Jakarta Selatan,0
8,2016-01-09,29.7,79.0,10.2,110.0,2.0,7.65,E ,Jakarta Selatan,0
9,2016-01-10,29.2,80.0,8.2,80.0,2.0,8.933333333333334,S ,Jakarta Selatan,0
10,2016-01-11,28.2,83.0,4.9,280.0,1.0,10.216666666666669,S ,Jakarta Selatan,0
11,2016-01-12,26.0,93.0,5.7,50.0,1.0,11.5,S ,Jakarta Selatan,1
12,2016-01-13,26.3,92.0,0.9,270.0,1.0,36.3,E ,Jakarta Selatan,0
13,2016-01-14,28.5,84.0,3.7,40.0,2.0,4.4,E ,Jakarta Selatan,0
14,2016-01-15,29.0,84.0,4.8,70.0,1.0,2.5,SE,Jakarta Selatan,0
15,2016-01-16,28.6,82.0,3.9,60.0,1.0,0.6,NE,Jakarta Selatan,0
16,2016-01-17,28.1,86.0,3.1,160.0,2.0,2.55,S ,Jakarta Selatan,0
17,2016-01-18,28.5,81.0,6.8,280.0,2.0,4.5,W ,Jakarta Selatan,0
18,2016-01-19,27.4,89.0,3.1,250.0,2.0,3.4,W ,Jakarta Selatan,0
19,2016-01-20,27.8,87.0,4.6,260.0,2.0,0.9,W ,Jakarta Selatan,1
20,2016-01-21,27.7,86.0,1.6,260.0,1.0,0.3,SW,Jakarta Selatan,0
21,2016-01-22,28.7,84.0,0.8,300.0,2.0,0.1,W ,Jakarta Selatan,0
22,2016-01-23,26.2,88.0,0.7,130.0,2.0,13.9,SE,Jakarta Selatan,0
23,2016-01-24,27.2,91.0,0.2,180.0,1.0,7.5,C ,Jakarta Selatan,0
24,2016-01-25,25.5,96.0,1.0,120.0,1.0,56.0,C ,Jakarta Selatan,0
25,2016-01-26,28.1,85.0,0.0,290.0,1.0,2.0,W ,Jakarta Selatan,0
26,2016-01-27,29.2,83.0,4.0,240.0,2.0,2.0,W ,Jakarta Selatan,0
27,2016-01-28,29.0,83.0,7.4,130.0,2.0,2.0,SE,Jakarta Selatan,0
28,2016-01-29,29.1,80.0,3.1,170.0,2.0,2.0,SW,Jakarta Selatan,0
29,2016-01-30,28.0,86.0,8.4,290.0,2.0,2.0,W ,Jakarta Selatan,1
30,2016-01-31,27.9,82.0,1.7,260.0,2.0,0.4,W ,Jakarta Selatan,1
31,2016-02-01,27.2,89.0,4.1,280.0,2.0,13.45,W ,Jakarta Selatan,0
32,2016-02-02,27.5,89.0,2.3,280.0,3.0,26.5,W ,Jakarta Selatan,1
33,2016-02-03,27.8,82.0,2.0,250.0,2.0,4.0,W ,Jakarta Selatan,1
34,2016-02-04,26.9,90.0,2.1,210.0,1.0,5.85,SW,Jakarta Selatan,0
35,2016-02-05,28.4,84.0,0.6,260.0,2.0,7.7,W ,Jakarta Selatan,0
36,2016-02-06,28.7,85.0,1.5,240.0,2.0,4.1,W ,Jakarta Selatan,0
37,2016-02-07,27.9,86.0,7.8,250.0,2.0,0.5,W ,Jakarta Selatan,0
38,2016-02-08,26.7,92.0,4.2,280.0,2.0,27.5,W ,Jakarta Selatan,0
39,2016-02-09,27.1,88.0,3.8,260.0,2.0,23.7,W ,Jakarta Selatan,0
40,2016-02-10,26.4,90.0,4.6,280.0,2.0,10.0,W ,Jakarta Selatan,1
41,2016-02-11,27.3,89.0,0.2,270.0,2.0,9.85,SW,Jakarta Selatan,1
42,2016-02-12,27.0,88.0,0.7,250.0,1.0,9.7,C ,Jakarta Selatan,1
43,2016-02-13,28.2,84.0,1.6,290.0,1.0,23.0,E ,Jakarta Selatan,1
44,2016-02-14,27.2,89.0,1.6,270.0,1.0,0.5,E ,Jakarta Selatan,1
45,2016-02-15,28.1,85.0,5.5,260.0,2.0,10.0,W ,Jakarta Selatan,1
46,2016-02-16,27.5,86.0,7.1,200.0,2.0,9.25,C ,Jakarta Selatan,0
47,2016-02-17,26.6,89.0,1.0,270.0,1.0,8.5,S ,Jakarta Selatan,0
48,2016-02-18,27.4,86.0,0.5,280.0,2.0,2.0,SW,Jakarta Selatan,0
49,2016-02-19,28.3,82.0,8.0,100.0,2.0,0.4,W ,Jakarta Selatan,1
50,2016-02-20,28.0,85.0,4.1,270.0,2.0,0.6,W ,Jakarta Selatan,0
51,2016-02-21,28.2,85.0,3.6,250.0,3.0,0.8,W ,Jakarta Selatan,0
52,2016-02-22,28.4,85.0,3.1,280.0,2.0,1.0,W ,Jakarta Selatan,0
53,2016-02-23,28.3,83.0,2.1,270.0,2.0,8.333333333333332,SW,Jakarta Selatan,0
54,2016-02-24,26.9,92.0,1.4500000000000002,250.0,1.0,15.666666666666666,C ,Jakarta Selatan,0
55,2016-02-25,27.0,88.5,0.8,190.0,0.0,23.0,C ,Jakarta Selatan,0
56,2016-02-26,27.1,85.0,2.3,270.0,1.0,34.0,W ,Jakarta Selatan,1
57,2016-02-27,28.4,78.0,2.5,180.0,2.0,0.8,W ,Jakarta Selatan,1
58,2016-02-28,27.3,84.5,7.5,200.0,1.0,67.0,S ,Jakarta Selatan,1
59,2016-02-29,26.2,91.0,0.0,280.0,2.0,8.0,SW,Jakarta Selatan,1
60,2016-03-01,26.9,88.0,2.5,290.0,3.0,44.2,W ,Jakarta Selatan,1
61,2016-04-01,28.2,84.0,5.5,260.0,2.0,0.2,S ,Jakarta Selatan,0
62,2016-05-01,28.1,84.0,1.8,60.0,3.0,23.0,NE,Jakarta Selatan,0
63,2016-06-01,28.1,87.0,3.8,100.0,2.0,12.5,NE,Jakarta Selatan,0
64,2016-07-01,28.0,86.0,6.0,220.0,1.0,2.0,W ,Jakarta Selatan,0
65,2016-07-02,28.6,84.0,1.7,210.0,1.0,0.2,N ,Jakarta Selatan,1
66,2016-07-03,27.2,88.0,6.7,100.0,2.0,25.35,E ,Jakarta Selatan,0
67,2016-07-04,27.7,84.0,4.8,100.0,1.0,50.5,E ,Jakarta Selatan,1
68,2016-07-05,27.2,86.0,7.2,180.0,2.0,4.3,SE,Jakarta Selatan,0
69,2016-07-06,28.4,81.0,7.6,50.0,2.0,14.2,E ,Jakarta Selatan,0
70,2016-07-07,28.9,81.0,8.9,50.0,2.0,13.5,NE,Jakarta Selatan,0
71,2016-07-08,28.2,81.0,8.6,60.0,2.0,12.8,NE,Jakarta Selatan,0
72,2016-07-09,28.7,79.0,8.9,100.0,2.0,15.725,E ,Jakarta Selatan,0
73,2016-07-10,27.7,83.0,6.1,70.0,1.0,18.65,N ,Jakarta Selatan,0
74,2016-07-11,27.1,92.0,1.6,90.0,1.0,21.575,W ,Jakarta Selatan,0
75,2016-07-12,27.0,90.0,4.4,160.0,1.0,24.5,N ,Jakarta Selatan,0
76,2016-07-13,26.6,90.0,5.8,50.0,1.0,21.7,N ,Jakarta Selatan,0
77,2016-07-14,28.2,83.0,3.7,60.0,2.0,0.8,E ,Jakarta Selatan,0
78,2016-07-15,28.6,81.0,5.2,50.0,2.0,1.6,E ,Jakarta Selatan,0
79,2016-07-16,27.3,87.0,8.1,250.0,1.0,2.4000000000000004,E ,Jakarta Selatan,0
80,2016-07-17,27.0,89.0,7.0,270.0,1.0,3.2,W ,Jakarta Selatan,1
81,2016-07-18,26.4,86.0,3.8,200.0,1.0,4.0,N ,Jakarta Selatan,0
82,2016-07-19,26.3,94.0,7.7,260.0,1.0,42.8,SW,Jakarta Selatan,0
83,2016-07-20,25.5,90.0,5.3,50.0,1.0,2.3,N ,Jakarta Selatan,1
84,2016-07-21,27.7,82.0,2.7,240.0,2.0,29.6,SE,Jakarta Selatan,1
85,2016-07-22,25.0,94.0,7.6,100.0,1.0,0.6,N ,Jakarta Selatan,1
86,2016-07-23,27.3,83.0,2.5,50.0,2.0,1.15,E ,Jakarta Selatan,1
87,2016-07-24,26.6,88.0,8.4,160.0,1.0,1.7,S ,Jakarta Selatan,1
88,2016-07-25,26.4,90.0,7.6,280.0,1.0,24.0,W ,Jakarta Selatan,0
89,2016-07-26,27.3,78.0,2.4,240.0,1.0,12.0,N ,Jakarta Selatan,0
90,2016-07-27,27.9,77.0,8.4,90.0,2.0,12.55,E ,Jakarta Selatan,0
91,2016-07-28,27.8,78.0,8.5,70.0,1.0,13.1,E ,Jakarta Selatan,0
92,2016-07-29,27.9,83.0,7.8,280.0,1.0,13.65,W ,Jakarta Selatan,0
93,2016-07-30,28.1,82.0,4.9,110.0,2.0,14.2,SE,Jakarta Selatan,0
94,2016-07-31,28.4,76.0,6.0,60.0,1.0,9.866666666666667,N ,Jakarta Selatan,0
95,2016-08-01,28.9,80.0,9.1,180.0,1.0,5.533333333333333,N ,Jakarta Selatan,0
96,2016-08-02,27.2,80.0,8.4,180.0,2.0,1.2,S ,Jakarta Selatan,0
97,2016-08-03,28.1,69.0,6.9,70.0,2.0,40.0,E ,Jakarta Selatan,0
98,2016-08-04,27.9,73.0,9.6,170.0,1.0,32.12,S ,Jakarta Selatan,0
99,2016-08-05,27.4,75.0,6.4,160.0,1.0,24.24,N ,Jakarta Selatan,0
100,2016-08-06,27.8,74.0,7.6,210.0,1.0,16.36,W ,Jakarta Selatan,0
101,2016-08-07,28.1,72.0,7.5,250.0,1.0,8.48,W ,Jakarta Selatan,0
102,2016-08-08,27.8,82.0,7.4,130.0,1.0,0.6,SE,Jakarta Selatan,0
103,2016-08-09,26.7,85.0,2.3,220.0,1.0,9.7,E ,Jakarta Selatan,0
104,2016-08-10,27.4,81.0,4.9,80.0,1.0,43.3,N ,Jakarta Selatan,0
105,2016-08-11,28.8,78.0,8.0,120.0,1.0,23.65,N ,Jakarta Selatan,0
106,2016-08-12,28.0,83.0,4.5,70.0,1.0,4.0,N ,Jakarta Selatan,0
107,2016-08-13,28.7,75.0,7.6,270.0,2.0,0.3,S ,Jakarta Selatan,0
108,2016-08-14,26.1,89.0,2.8,60.0,1.0,9.9,N ,Jakarta Selatan,0
109,2016-08-15,27.5,83.0,1.0,60.0,1.0,19.0,N ,Jakarta Selatan,0
110,2016-08-16,27.7,77.0,2.2,80.0,1.0,13.633333333333333,E ,Jakarta Selatan,0
111,2016-08-17,28.3,76.0,2.0,110.0,2.0,8.266666666666666,E ,Jakarta Selatan,0
112,2016-08-18,27.7,82.0,7.8,190.0,1.0,2.9,N ,Jakarta Selatan,0
113,2016-08-19,28.5,78.0,3.4,80.0,1.0,13.95,N ,Jakarta Selatan,1
114,2016-08-20,27.7,76.0,6.3,220.0,2.0,25.0,NE,Jakarta Selatan,1
115,2016-08-21,28.4,76.0,9.2,260.0,1.0,25.1,E ,Jakarta Selatan,0
116,2016-08-22,27.5,77.0,8.0,100.0,1.0,25.2,SE,Jakarta Selatan,0
117,2016-08-23,27.9,79.0,7.7,230.0,0.0,21.5,N ,Jakarta Selatan,0
118,2016-08-24,27.5,82.0,6.1,110.0,1.0,0.1,N ,Jakarta Selatan,0
119,2016-08-25,26.8,81.0,7.9,280.0,1.0,1.0,S ,Jakarta Selatan,0
120,2016-08-26,27.6,82.0,3.8,60.0,1.0,20.0,E ,Jakarta Selatan,0
121,2016-08-27,26.2,87.0,4.3,180.0,2.0,39.0,E ,Jakarta Selatan,1
122,2016-08-28,27.3,85.0,3.3,80.0,0.0,58.0,N ,Jakarta Selatan,1
123,2016-08-29,26.2,91.0,2.7,90.0,0.0,14.5,N ,Jakarta Selatan,0
124,2016-08-30,25.1,93.0,4.0,200.0,1.0,0.4,N ,Jakarta Selatan,0
125,2016-08-31,27.3,85.0,1.6,90.0,1.0,58.0,E ,Jakarta Selatan,0
126,2016-09-01,28.1,81.0,6.8,140.0,1.0,41.5,C ,Jakarta Selatan,1
127,2016-09-02,27.7,82.0,6.6,190.0,1.0,25.0,N ,Jakarta Selatan,0
128,2016-09-03,28.4,78.0,6.2,180.0,1.0,1.2,E ,Jakarta Selatan,0
129,2016-09-04,26.8,85.0,6.6,70.0,0.0,3.6,N ,Jakarta Selatan,0
130,2016-09-05,28.4,78.0,4.0,80.0,2.0,6.0,E ,Jakarta Selatan,0
131,2016-09-06,27.8,81.0,7.7,300.0,1.0,3.2,N ,Jakarta Selatan,0
132,2016-09-07,27.7,79.0,5.8,260.0,2.0,0.4,E ,Jakarta Selatan,1
133,2016-09-08,27.4,82.0,6.8,250.0,1.0,11.8,N ,Jakarta Selatan,1
134,2016-09-09,28.3,76.0,2.6,100.0,2.0,0.1,E ,Jakarta Selatan,0
135,2016-09-10,28.9,72.0,5.5,70.0,2.0,0.575,E ,Jakarta Selatan,0
136,2016-09-11,27.8,76.0,5.9,250.0,2.0,1.05,S ,Jakarta Selatan,0
137,2016-09-12,29.1,66.0,6.0,110.0,1.0,1.525,N ,Jakarta Selatan,0
138,2016-09-13,28.5,75.0,6.2,260.0,1.0,2.0,E ,Jakarta Selatan,0
139,2016-09-14,28.4,75.0,7.7,100.0,2.0,22.0,E ,Jakarta Selatan,0
140,2016-09-15,26.9,86.0,5.3,210.0,1.0,42.0,N ,Jakarta Selatan,1
141,2016-09-16,27.4,82.0,4.9,70.0,1.0,14.2,E ,Jakarta Selatan,0
142,2016-09-17,28.1,82.0,2.5,220.0,2.0,2.0,W ,Jakarta Selatan,0
143,2016-09-18,27.3,89.0,2.4,120.0,0.0,9.0,N ,Jakarta Selatan,0
144,2016-09-19,26.2,92.0,2.1,290.0,1.0,12.35,N ,Jakarta Selatan,0
145,2016-09-20,28.0,83.0,4.9,240.0,2.0,15.7,W ,Jakarta Selatan,0
146,2016-09-21,25.8,91.0,8.4,280.0,1.0,10.05,N ,Jakarta Selatan,0
147,2016-09-22,27.7,85.0,3.8,250.0,1.0,4.4,N ,Jakarta Selatan,0
148,2016-09-23,28.1,80.0,2.1,240.0,2.0,3.0500000000000003,W ,Jakarta Selatan,0
149,2016-09-24,26.7,87.0,2.6,250.0,2.0,1.7,W ,Jakarta Selatan,1
150,2016-09-25,28.4,81.0,4.4,220.0,1.0,60.5,W ,Jakarta Selatan,1
151,2016-09-26,27.8,78.0,6.9,230.0,3.0,11.0,SW,Jakarta Selatan,1
152,2016-09-27,25.5,92.0,4.6,220.0,1.0,20.95,N ,Jakarta Selatan,0
153,2016-09-28,28.2,76.0,1.9,60.0,1.0,30.9,E ,Jakarta Selatan,0
154,2016-09-29,27.6,83.0,4.2,200.0,1.0,25.0,N ,Jakarta Selatan,0
155,2016-09-30,26.7,86.0,7.9,180.0,1.0,6.3,N ,Jakarta Selatan,0
156,2016-10-01,28.4,78.0,6.5,260.0,6.0,0.5,W ,Jakarta Selatan,0
157,2016-10-02,27.2,80.0,3.2,260.0,5.0,0.4,W ,Jakarta Selatan,0
158,2016-10-03,27.7,76.0,3.5,230.0,4.0,0.3,SW,Jakarta Selatan,0
159,2016-10-04,26.6,86.0,2.2,190.0,2.0,0.2,SW,Jakarta Selatan,1
160,2016-10-05,27.1,84.0,3.2,170.0,2.0,14.5,W ,Jakarta Selatan,1
161,2016-10-06,27.7,75.0,4.300000000000001,250.0,3.0,11.625,NE,Jakarta Selatan,0
162,2016-10-07,28.7,77.0,5.4,260.0,3.0,8.75,SW,Jakarta Selatan,0
163,2016-10-08,26.8,87.0,1.5,220.0,4.0,5.875,SW,Jakarta Selatan,0
164,2016-10-09,27.7,80.0,4.3,90.0,5.0,3.0,S ,Jakarta Selatan,0
165,2016-10-10,25.4,92.0,0.0,140.0,3.0,1.5,W ,Jakarta Selatan,1
166,2016-10-11,27.0,86.0,1.4,90.0,2.0,24.0,S ,Jakarta Selatan,1
167,2016-10-12,27.1,88.0,0.0,80.0,3.0,11.0,E ,Jakarta Selatan,1
168,2016-10-13,26.6,91.0,1.9,220.0,4.0,8.2,SW,Jakarta Selatan,0
169,2016-10-14,26.3,89.0,0.0,260.0,5.0,5.4,W ,Jakarta Selatan,0
170,2016-10-15,28.1,81.0,0.3,20.0,5.0,1.4,W ,Jakarta Selatan,0
171,2016-10-16,29.2,73.0,4.9,0.0,4.0,6.914285714285715,NE,Jakarta Selatan,0
172,2016-10-17,28.6,75.0,3.5,270.0,3.0,12.428571428571429,W ,Jakarta Selatan,0
173,2016-10-18,28.8,78.0,3.4,80.0,3.0,17.942857142857143,S ,Jakarta Selatan,0
174,2016-10-19,29.1,77.0,4.5,140.0,4.0,23.457142857142856,E ,Jakarta Selatan,0
175,2016-10-20,28.8,76.0,3.4,170.0,0.0,28.971428571428568,NE,Jakarta Selatan,0
176,2016-10-21,26.3,88.0,1.4,260.0,2.0,34.48571428571429,SE,Jakarta Selatan,0
177,2016-10-22,27.6,84.0,1.5,90.0,5.0,40.0,E ,Jakarta Selatan,0
178,2016-10-23,24.7,97.0,0.0,230.0,2.0,36.4,SW,Jakarta Selatan,1
179,2016-10-24,27.0,86.0,1.4,100.0,4.0,29.0,E ,Jakarta Selatan,0
180,2016-10-25,27.7,66.0,7.0,130.0,5.0,9.7,SE,Jakarta Selatan,0
181,2016-10-26,28.6,79.0,4.9,270.0,5.0,10.5,W ,Jakarta Selatan,0
182,2016-10-27,26.7,88.0,1.5,180.0,4.0,3.0,SW,Jakarta Selatan,0
183,2016-10-28,26.6,90.0,0.7,270.0,3.0,41.0,SE,Jakarta Selatan,0
184,2016-10-29,27.2,83.0,6.2,270.0,3.0,2.0,SE,Jakarta Selatan,0
185,2016-10-30,27.4,82.0,4.5,170.0,3.0,1.7,W ,Jakarta Selatan,0
186,2016-10-31,27.4,82.0,5.8,190.0,4.0,1.1,SE,Jakarta Selatan,0
187,2016-11-01,28.1,78.0,6.2,260.0,4.0,1.0,SW,Jakarta Selatan,0
188,2016-11-02,28.2,78.0,4.6,250.0,4.0,1.0,SW,Jakarta Selatan,0
189,2016-11-03,28.3,78.0,0.8,270.0,3.0,0.75,S ,Jakarta Selatan,0
190,2016-11-04,28.2,78.0,1.0,250.0,3.0,0.5,S ,Jakarta Selatan,0
191,2016-11-05,28.7,75.0,0.2,280.0,6.0,8.6,W ,Jakarta Selatan,0
192,2016-11-06,29.2,72.0,4.0,40.0,5.0,16.7,NE,Jakarta Selatan,0
193,2016-11-07,29.3,74.0,4.3,90.0,4.0,24.8,SE,Jakarta Selatan,0
194,2016-11-08,27.5,84.0,1.8,180.0,3.0,32.9,W ,Jakarta Selatan,0
195,2016-11-09,26.9,85.0,3.7,260.0,2.0,41.0,SW,Jakarta Selatan,0
196,2016-11-10,26.8,85.0,5.3,220.0,2.0,0.4,S ,Jakarta Selatan,0
197,2016-11-11,27.3,84.0,3.5,260.0,3.0,31.0,W ,Jakarta Selatan,0
198,2016-11-12,27.3,85.0,4.6,260.0,3.0,48.0,NE,Jakarta Selatan,0
199,2016-11-13,26.2,91.0,1.9,260.0,4.0,16.0,W ,Jakarta Selatan,0
200,2016-11-14,27.0,89.0,4.7,270.0,3.0,97.0,W ,Jakarta Selatan,0
201,2016-11-15,27.0,85.0,1.9,260.0,4.0,14.0,W ,Jakarta Selatan,0
202,2016-11-16,27.5,85.0,4.8,40.0,4.0,40.3,NE,Jakarta Selatan,0
203,2016-11-17,28.1,79.0,4.9,170.0,5.0,27.266666666666666,S ,Jakarta Selatan,0
204,2016-12-01,28.0,78.0,0.7,260.0,6.0,14.233333333333334,W ,Jakarta Selatan,0
205,2016-12-02,25.1,93.0,2.1,230.0,3.0,1.2,W ,Jakarta Selatan,0
206,2016-12-03,28.0,80.0,3.5,260.0,4.0,8.5,W ,Jakarta Selatan,0
207,2016-12-04,25.1,85.0,0.3,240.0,7.0,7.75,SW,Jakarta Selatan,0
208,2016-12-05,24.7,90.0,0.9,230.0,6.0,7.0,W ,Jakarta Selatan,0
209,2016-12-06,27.3,82.0,1.8,250.0,4.0,6.5,W ,Jakarta Selatan,0
210,2016-12-07,28.0,80.0,3.0,260.0,6.0,10.166666666666666,W ,Jakarta Selatan,0
211,2016-12-08,27.5,83.0,3.3,270.0,4.0,13.833333333333332,W ,Jakarta Selatan,0
212,2016-12-09,27.7,82.0,6.0,260.0,7.0,17.5,W ,Jakarta Selatan,0
213,2016-12-10,28.9,74.0,7.5,260.0,7.0,8.85,W ,Jakarta Selatan,0
214,2016-12-11,27.4,82.0,0.4,260.0,7.0,0.2,W ,Jakarta Selatan,0
215,2016-12-12,27.3,80.0,4.8,230.0,5.0,17.0,SW,Jakarta Selatan,0
216,2016-12-13,27.7,79.0,2.6,230.0,4.0,14.466666666666669,W ,Jakarta Selatan,0
217,2016-12-14,26.9,86.0,4.0,250.0,6.0,11.933333333333334,W ,Jakarta Selatan,0
