,date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,station_name,region_name,flood
0,2016-01-01,26.0,34.8,28.6,81.0,0.0,5.8,5.0,280.0,2.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
1,2016-01-02,25.6,33.2,27.0,88.0,1.6,8.7,4.0,290.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
2,2016-01-03,24.4,34.9,28.1,80.0,33.8,5.4,4.0,280.0,2.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
3,2016-01-04,24.8,33.6,29.2,81.0,0.0,6.6,3.0,200.0,1.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
4,2016-01-05,25.8,33.6,26.7,91.0,0.0,3.2,3.0,180.0,1.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
5,2016-01-06,25.0,33.6,28.9,80.0,3.8,3.6,4.0,190.0,2.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
6,2016-01-07,25.2,35.6,30.0,78.0,0.0,7.6,4.0,60.0,2.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
7,2016-01-08,26.8,32.4,29.9,79.0,0.0,7.9,4.0,50.0,2.0,SE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
8,2016-01-09,26.8,34.8,29.7,79.0,0.0,10.2,4.0,110.0,2.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
9,2016-01-10,25.4,34.6,29.2,80.0,0.0,8.2,3.0,80.0,2.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
10,2016-01-11,25.6,34.0,28.2,83.0,0.0,4.9,3.0,280.0,1.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
11,2016-01-12,26.2,31.2,26.0,93.0,11.5,5.7,3.0,50.0,1.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
12,2016-01-13,24.8,33.3,26.3,92.0,36.3,0.9,3.0,270.0,1.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
13,2016-01-14,25.0,33.8,28.5,84.0,4.4,3.7,3.0,40.0,2.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
14,2016-01-15,26.0,33.8,29.0,84.0,0.0,4.8,3.0,70.0,1.0,SE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
15,2016-01-16,25.4,33.6,28.6,82.0,0.6,3.9,2.0,60.0,1.0,NE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
16,2016-01-17,25.8,35.2,28.1,86.0,0.0,3.1,4.0,160.0,2.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
17,2016-01-18,25.4,34.0,28.5,81.0,4.5,6.8,4.0,280.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
18,2016-01-19,25.6,33.8,27.4,89.0,3.4,3.1,4.0,250.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
19,2016-01-20,25.6,33.4,27.8,87.0,0.9,4.6,4.0,260.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
20,2016-01-21,25.8,31.4,27.7,86.0,0.3,1.6,2.0,260.0,1.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
21,2016-01-22,26.4,32.0,28.7,84.0,0.1,0.8,4.0,300.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
22,2016-01-23,23.8,30.6,26.2,88.0,13.9,0.7,4.0,130.0,2.0,SE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
23,2016-01-24,25.0,32.6,27.2,91.0,7.5,0.2,3.0,180.0,1.0,C ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
24,2016-01-25,23.0,31.0,25.5,96.0,56.0,1.0,2.0,120.0,1.0,C ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
25,2016-01-26,23.0,33.0,28.1,85.0,2.0,0.0,3.0,290.0,1.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
26,2016-01-27,25.6,34.6,29.2,83.0,0.0,4.0,4.0,240.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
27,2016-01-28,26.0,33.0,29.0,83.0,0.0,7.4,4.0,130.0,2.0,SE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
28,2016-01-29,25.2,35.0,29.1,80.0,0.0,3.1,4.0,170.0,2.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
29,2016-01-30,25.0,32.6,28.0,86.0,2.0,8.4,4.0,290.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
30,2016-01-31,25.2,33.0,27.9,82.0,0.4,1.7,3.0,260.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
31,2016-02-01,24.2,32.0,27.2,89.0,0.0,4.1,5.0,280.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
32,2016-02-02,25.0,31.6,27.5,89.0,26.5,2.3,5.0,280.0,3.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
33,2016-02-03,24.4,32.4,27.8,82.0,4.0,2.0,3.0,250.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
34,2016-02-04,25.4,31.7,26.9,90.0,0.0,2.1,2.0,210.0,1.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
35,2016-02-05,25.6,34.6,28.4,84.0,7.7,0.6,5.0,260.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
36,2016-02-06,25.4,35.2,28.7,85.0,0.0,1.5,5.0,240.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
37,2016-02-07,26.8,33.2,27.9,86.0,0.5,7.8,4.0,250.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
38,2016-02-08,25.6,31.9,26.7,92.0,27.5,4.2,4.0,280.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
39,2016-02-09,24.4,33.0,27.1,88.0,23.7,3.8,4.0,260.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
40,2016-02-10,24.8,29.6,26.4,90.0,10.0,4.6,4.0,280.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
41,2016-02-11,25.4,25.4,27.3,89.0,0.0,0.2,3.0,270.0,2.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
42,2016-02-12,24.6,30.8,27.0,88.0,9.7,0.7,4.0,250.0,1.0,C ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
43,2016-02-13,24.4,33.6,28.2,84.0,23.0,1.6,3.0,290.0,1.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
44,2016-02-14,25.0,34.2,27.2,89.0,0.5,1.6,4.0,270.0,1.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
45,2016-02-15,24.4,34.6,28.1,85.0,10.0,5.5,5.0,260.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
46,2016-02-16,25.0,31.6,27.5,86.0,0.0,7.1,4.0,200.0,2.0,C ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
47,2016-02-17,24.6,30.4,26.6,89.0,8.5,1.0,3.0,270.0,1.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
48,2016-02-18,24.8,33.0,27.4,86.0,2.0,0.5,4.0,280.0,2.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
49,2016-02-19,25.4,32.4,28.3,82.0,0.4,8.0,4.0,100.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
50,2016-02-20,25.4,31.4,28.0,85.0,0.0,4.1,4.0,270.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
51,2016-02-21,25.8,32.4,28.6,76.0,0.0,0.0,4.0,250.0,3.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
52,2016-02-22,26.0,32.2,28.4,85.0,1.0,3.1,4.0,280.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
53,2016-02-23,26.4,33.8,28.3,83.0,0.0,2.1,3.0,270.0,2.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
54,2016-02-24,25.8,30.8,26.9,92.0,0.0,0.0,4.0,250.0,1.0,C ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
55,2016-02-25,24.4,32.4,28.6,76.0,23.0,0.8,2.0,190.0,0.0,C ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
56,2016-02-26,24.2,32.2,27.1,85.0,34.0,2.3,4.0,270.0,1.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
57,2016-02-27,25.2,35.0,28.4,78.0,0.8,2.5,3.0,180.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
58,2016-02-28,24.0,31.0,28.6,76.0,67.0,7.5,2.0,200.0,1.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
59,2016-02-29,25.0,30.4,26.2,91.0,8.0,0.0,4.0,280.0,2.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
60,2016-03-01,24.0,32.0,26.9,88.0,44.2,2.5,5.0,290.0,3.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
61,2016-04-01,25.4,34.0,28.2,84.0,0.2,5.5,3.0,260.0,2.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
62,2016-05-01,24.8,32.4,28.1,84.0,23.0,1.8,4.0,60.0,3.0,NE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
63,2016-06-01,24.4,33.8,28.1,87.0,0.0,3.8,3.0,100.0,2.0,NE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
64,2016-07-01,24.8,34.0,28.0,86.0,2.0,6.0,3.0,220.0,1.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
65,2016-07-02,25.2,33.9,28.6,84.0,0.2,1.7,3.0,210.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
66,2016-07-03,26.4,33.0,27.2,88.0,0.0,6.7,4.0,100.0,2.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
67,2016-07-04,23.0,34.4,27.7,84.0,50.5,4.8,3.0,100.0,1.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1
68,2016-07-05,25.2,34.4,27.2,86.0,4.3,7.2,3.0,180.0,2.0,SE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
69,2016-07-06,24.0,34.2,28.4,81.0,14.2,7.6,3.0,50.0,2.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
70,2016-07-07,25.4,34.4,28.9,81.0,0.0,8.9,3.0,50.0,2.0,NE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0
